symbol,t_score
EPSOMPRO,25
EPUJA,50
EQUIPPP,25
EQUITAS,
EQUITASBNK,62
ERAAYA,75
ERABUILD,
ERIS,75
EROSMEDIA,12
ERPSOFT,50
ESABINDIA,75
ESAFSFB,25
ESARIND,0
ESCONET,0
ESCORP,
ESCORTS,75
ESFL,0
ESHAMEDIA,75
ESKAY,
ESPIRE,0
ESSARSHPNG,62
ESSENTIA,38
ESTER,38
ETHOSLTD,100
ETIL,62
ETT,12
EUPHORIAIT,
EUREKAFORBE,50
EUREKAI,50
EUROASIA,50
EUROBOND,100
EUROCERA,
EUROLED,38
EUROMULTI,
EUROTEXIND,38
EVANS,
EVEREADY,38
EVERESTIND,50
EVERESTO,62
EVERFIN,100
EVEXIA,12
EVOQ,
EXCEL,38
EXCELINDUS,75
EXHICON,
EXICOM,75
EXIDEIND,100
EXPLEOSOL,25
EXPLICITFIN,50
EXPOGAS,75
EXXARO,0
EY,100
FAALCON,
FABINO,
FACORALL,0
FACORSTE,
FACT,62
FAIRCHEMOR,75
FAMILYCARE,25
FAZE3AUTO,
FAZE3Q,50
FCL,88
FCONSUMER,50
FCSSOFT,62
FDC,75
FEDDERELEC,
FEDERALBNK,75
FEDFINA,33
FEL,38
FELIX,12.5
FENOPLAS,
FERMENTA,50
FERVENTSYN,25
FFPL,25
FGP,88
FIBERWEB,50
FIDEL,50
FIEMIND,75
FILATEX,50
FILATFASH,0
FILME,
FILTRA,
FILTRON,
FINCABLES,100
FINELINE,25
FINEORG,75
FINKURVE,12
FINOPB,62
FINPIPE,75
FIRSTFIN,50
FISCHER,50
FIVECORE,
FIVESTAR,75
FIVEXTRADE,
FLAIR,50
FLEXFO,62
FLEXITUFF,0
FLFL,25
FLOMIC,38
FLORACORP,38
FLORATX,17
FLUIDOM,62
FLUOROCHEM,50
FMEC,83
FMGOETZE,100
FMNL,25
FOCE,75
FOCUS,12
FOCUS,
FONE4,
FONEBOX,0
FOODSIN,12
FORBESCO,25
FORCEMOT,75
FORFOOD,
FORINTL,25
FORTIS,75
FORTISMLR,25
FOSCL,
FOSECOIND,100
FRANKLIN,
FRANKLININD,38
FRASER,25
FREDUN,50
FRETAIL,50
FROG,75
FRONTBUSS,
FRONTCAP,
FRONTCORP,50
FRONTFN,
FRONTSP,75
FRSHTRP,38
FRUTION,50
FSC,0
FSL,75
FSSPL,
FTL,
FUNDVISER,50
FUNNY,
FUSION,0
FUTSOL,38
FUTURAPOLY,
FUTURSEC,38
GABRIEL,100
GAEL,0
GAGAN,38
GAGANPO,
GAIL,75
GAJANANSEC,100
GAJRA,
GALACTICO,0
GALADA,
GALADAFIN,75
GALAGEX,25
GALAXYSURF,75
GALLANTT,100
GALLOPENT,62
GALXBRG,12
GAMMONIND,
GANDHAR,25
GANDHITUBE,50
GANECOS,100
GANESHBE,0
GANESHHOUC,75
GANGAFORGE,0
GANGAPA,38
GANGAPHARM,
GANGESSECU,75
GANGOTRI,62
GANHOLD,50
GANONPRO,38
GANVERSE,
GARBIFIN,50
GARFIBRES,75
GARGFUR,38
GARGI,
GARLNIN,
GARMNTMNTR,50
GARNET,75
GARNETINT,75
GARODCH,17
GARWAMAR,0
GARWSYN,75
GATECH,0
GATECHDVR,12
GATEWAY,50
GAYAHWS,100
GAYAPROJ,12
GAYATRI,62
GAYATRIBI,25
GBFL,88
GBGLOBAL,
GBLINFRA,
GCCL,
GCCLINP,
GCKL,100
GCMCAPI,
GCMCOMM,
GCMSECU,25
GCONNECT,
GCSL,
GDLLEAS,-1
GDTRAGN,-1
GEE,12
GEECEE,100
GEEFC,
GEEKAYWIRE,25
GEETANJ,62
GEL,
GEMSI,62
GEMSPIN,12
GENCON,50
GENERAAGRI,
GENESIS,67
GENESYS,62
GENIUSCO,
GENNEX,25
GENPHARMA,0
GENSOL,67
GENUSPAPER,50
GENUSPOWER,75
GENUSPRIME,38
GEOJITFSL,75
GEPIL,75
GESHIP,75
GET&D,100
GETALONG,
GFLLIMITED,50
GFSTEELS,75
GGAUTO,75
GGDPROP,0
GGENG,25
GGL,12
GGPL,0
GHCL,62
GHCLTEXTIL,50
GHUSHINE,
GIANLIFE,25
GICHSGFIN,62
GICL,0
GICRE,62
GILADAFINS,12
GILLANDERS,25
GILLETTE,75
GINISILK,75
GINNIFILA,38
GIPCL,75
GIRIRAJ,
GIRRESORTS,
GISL,
GITANJALI,
GITARENEW,38
GKB,75
GKCONS,88
GKP,12
GKWLIMITED,75
GLANCE,75
GLAND,50
GLAXO,75
GLCL,
GLEAM,
GLENMARK,75
GLFL,12
GLHRL,
GLITTEKG,12
GLOBAL,0
GLOBAL,
GLOBALCA,62
GLOBALPET,0
GLOBALVECT,75
GLOBE,50
GLOBOFFS,
GLOBUSCON,75
GLOBUSSPR,25
GLOKNIT,
GLOSTERLTD,33
GLS,62
GMBREW,75
GMDCLTD,38
GMETCOAL,
GMMPFAUDLR,12
GMPL,
GMRINFRA,75
GMRP&UI,62
GNA,12
GNFC,62
GNRL,0
GOACARBON,50
GOBLIN,
GOCLCORP,75
GOCOLORS,38
GODAVARI,88
GODFRYPHLP,100
GODHA,25
GODIGIT,50
GODREJAGRO,100
GODREJCP,75
GODREJIND,50
GODREJPROP,100
GOEL,
GOENKA,62
GOGIACAP,0
GOKAKTEX,25
GOKEX,62
GOKUL,25
GOKULAGRO,100
GOKULSOL,
GOLCA,100
GOLDCOINHF,62
GOLDENCREST,67
GOLDENTOBC,12
GOLDIAM,12
GOLDKART,
GOLDLEG,
GOLDLINE,
GOLDSTAR,12.5
GOLDTECH,88
GOLECHA,100
GOLKONDA,25
GOLKUNDIA,50
GONTER,
GOODLUCK,50
GOODRICKE,62
GOODYEAR,
GOPAIST,75
GOPAL,50
GORANIN,12
GOTHIPL,0
GOURMET,62
GOVINDRU,
GOWRALE,50
GOYALALUM,50
GOYALASS,0
GOYALSALT,0
GPECO,
GPIL,75
GPPL,75
GPSL,
GPTHEALTH,25
GPTINFRA,100
GRADIENTE,
GRANDMA,
GRANULES,75
GRAPHISAD,0
GRAPHITE,50
GRASIM,100
GRATEXI,88
GRAUWEIL,
GRAVISSHO,0
GRAVITA,75
GRAVITY,50
GRCABLE,
GRCL,50
GREAVESCOT,38
GREENCHEF,0
GREENCREST,62
GREENLAM,75
GREENPANEL,12
GREENPLY,100
GREENPOWER,38
GRETEX,
GRINDWELL,75
GRINFRA,75
GRMOVER,88
GROBTEA,88
GROVY,100
GROWINGTON,
GRPLTD,75
GRSE,75
GRWRHITECH,75
GSAUTO,25
GSBFIN,100
GSCLCEMENT,
GSFC,50
GSL,
GSLNOVA,
GSLSEC,75
GSLSU,25
GSMFOILS,-1
GSPL,25
GSS,0
GSTL,38
GSTL,12.5
GTECJAINX,0
GTEIT,75
GTL,62
GTLINFRA,100
GTNIND,
GTNTEX,
GTPL,25
GTV,75
GUFICBIO,75
GUJALKALI,75
GUJAPOLLO,25
GUJARATPOLY,62
GUJCARB,
GUJCMDS,75
GUJCONT,38
GUJCOTEX,62
GUJCRAFT,0
GUJCRED,38
GUJCYPROM,
GUJFOIL,
GUJGASLTD,75
GUJHOTE,38
GUJHYSPIN,
GUJINJEC,100
GUJINTRX,75
GUJINV,75
GUJPE,
GUJPETR,25
GUJRAFFIA,38
GUJSTATFIN,12
GUJTERC,50
GUJTHEM,75
GUJTLRM,12
GULFOILLUB,75
GULFPETRO,75
GULPOLY,50
GUPTSYN,
GVBL,100
GVFILM,38
GVKPIL,38
GVL,
GVPTECH,38
GYANDEV,25
HAL,75
HALDER,100
HALDYNGL,38
HAMPTON,50
HANMAN,
HANSUGAR,100
HAPPSTMNDS,88
HAPPYFORGE,67
HARAFIN,-1
HARCR,
HARDCAS,88
HARDWYN,25
HARIAAPL,38
HARIAEXPO,62
HARIGOV,
HARIOMPIPE,88
HARISH,50
HARLETH,75
HARRMALAYA,75
HARSHA,100
HARSHDEEP,
HARSHILAGR,50
HARYNACAP,100
HASJUICE,
HASTIFIN,25
HATHWAY,62
HATHWAYB,62
HATSUN,50
HAVELLS,100
HAVISHA,50
HAWAENG,50
HAWKINCOOK,75
HAZOOR,25
HBEL,
HBESD,62
HBLEAS,75
HBLPOWER,50
HBPOR,50
HBSL,62
HCC,100
HCG,75
HCKKVENTURE,12
HCL-INSYS,0
HCLTD,-1
HCLTECH,62
HDFCAMC,75
HDFCBANK,100
HDFCLIFE,50
HDIL,50
HEADSUP,12
HEALINV,-1
HEALTHYLIFE,
HECPROJECT,100
HEERAISP,25
HEG,50
HEIDELBERG,62
HELPAGE,75
HEMACEM,
HEMANG,0
HEMIPROP,25
HEMORGANIC,38
HERANBA,62
HERCULES,75
HERITGFOOD,50
HEROMOTOCO,75
HESTERBIO,100
HEUBACHIND,50
HEXATRADEX,100
HFCL,62
HFIL,38
HGIND,
HGINFRA,100
HGS,38
HIGHENE,38
HIGHSTREE,75
HIGHWAYS,
HIGREEN,0
HIKAL,75
HIKLASS,-1
HIL,75
HILIKS,100
HILTON,0
HIMADRI,
HIMATSEIDE,38
HIMTEK,62
HINDADH,25
HINDALCO,100
HINDALUMI,62
HINDAPL,75
HINDBIO,0
HINDCOMPOS,75
HINDCON,50
HINDCOPPER,25
HINDHARD,88
HINDMILL,38
HINDMOTORS,38
HINDNATGLS,50
HINDOILEXP,75
HINDPETRO,38
HINDTIN,12
HINDUNILVR,50
HINDUST,8
HINDWAREAP,50
HINDZINC,50
HINFLUR,38
HIPOLIN,25
HIPPOCABS,
HIRAUTO,75
HIRECT,38
HISARMETAL,25
HISARSP,88
HITECH,50
HITECHCORP,38
HITECHGEAR,25
HITECHWIND,
HITKITGLO,75
HITTCO,62
HLEGLAS,25
HLVLTD,12
HMAAGRO,25
HMT,88
HMVL,62
HNDFDS,50
HOACFOODS,-1
HOCL,75
HOLMARC,0
HOMEFIRST,75
HOMESFY,
HONASA,83
HONAUT,75
HONDAPOWER,75
HOTLSILV,88
HOVS,12
HOWARHO,50
HPAL,25
HPBL,0
HPCBL,0
HPCOTTON,25
HPIL,50
HPL,75
HRBFLOR,-1
HRHNEXT,0
HRMNYCP,0
HRYNSHP,62
HSCL,75
HSIL,
HTMEDIA,50
HUBTOWN,62
HUDCO,75
HUHTAMAKI,100
HUIL,75
HVL,
HYBRIDFIN,38
HYPERSOFT,100
HYTONE,
IBINFO,75
IBLFL,0
IBREALEST,100
IBRIGST,38
IBULHSGFIN,62
ICDSLTD,0
ICEMAKE,100
ICICIBANK,100
ICICIGI,75
ICICIPRULI,75
ICIL,62
ICL,75
ICLORGANIC,
ICRA,75
ICSA,
ICSL,0
IDBI,38
IDEA,100
IDEAFORGE,25
IDFC,62
IDFCFIRSTB,50
IDINFO,-1
IDM,12
IECEDU,
IEL,50
IEML,33
IEX,75
IFBAGRO,75
IFBIND,75
IFCI,62
IFGLEXPOR,75
IFINSEC,100
IFINSER,62
IFL,12
IGARASHI,38
IGCIL,88
IGL,75
IGLFXPL-B,
IGPL,75
IGRL,
IHCT,
IIFL,25
IIFLSEC,75
IIL,12
IIRM,8
IISL,100
IITL,62
IITLPROJ,38
IKFTECH,
IKIO,58
IL&FSENGG,0
IL&FSTRANS,100
IMAGICAA,50
IMCAP,50
IMEC,75
IMFA,62
IMPAL,100
IMPEXFERRO,12
INA,
INANI,62
INANISEC,75
INCAP,12
INCEPTUM,
INCON,38
INCREDIBLE,75
INDAG,75
INDAGIV,100
INDBANK,62
INDBNK,75
INDCEMCAP,12
INDCTST,25
INDERGR,0
INDGELA,38
INDGN,50
INDHOTEL,100
INDIACEM,88
INDIAGLYCO,75
INDIAHOME,25
INDIAMART,62
INDIANACRY,50
INDIANB,50
INDIANCARD,50
INDIANHUME,75
INDIANVSH,38
INDIASHLTR,67
INDICAP,0
INDIFRA,0
INDIGO,100
INDIGOPNTS,50
INDIGRID,
INDINFO,0
INDINFR,
INDINFRA,
INDITALIA,
INDLEASE,25
INDLMETER,
INDNIPPON,75
INDOAMIN,12
INDOBORAX,38
INDOCITY,38
INDOCO,62
INDOCRED,75
INDOEURO,25
INDOFREBIO,
INDOGLOBAL,
INDOKEM,38
INDONG,
INDOPACIFIC,
INDORAMA,25
INDOSOLAR,
INDOSTAR,75
INDOTECH,25
INDOTHAI,25
INDOUS,
INDOWIND,88
INDPRUD,75
INDRAIND,100
INDRAMEDCO,75
INDRANIB,38
INDRENEW,0
INDSILHYD,62
INDSOYA,-1
INDSUCR,75
INDSWFTLAB,62
INDSWFTLTD,38
INDTERRAIN,12
INDTONER,50
INDUSFILA,
INDUSFINL,38
INDUSINDBK,50
INDUSTOWER,50
INDXTRA,0
INERTIAST,33
INFIBEAM,38
INFINIUM,37.5
INFLAME,
INFOBEAN,62
INFODRIVE,
INFOLLION,50
INFOMEDIA,75
INFORTEC,12
INFRAIND,
INFRAQUEST,
INFRATRUST,33.33
INFRONICS,12
INFY,62
INGERRAND,75
INLANPR,100
INLCM,75
INM,0
INNOCORP,75
INNOKAIZ,
INNOVACAP,50
INNOVANA,0
INNOVATIVE,
INNOVATIVE,12.5
INNOVATORS,
INNOVATUS,
INNOVENT,
INNOVTEC,50
INOVSYNTH,25
INOXGREEN,75
INOXINDIA,50
INOXLEISUR,
INOXWIND,25
INRADIA,75
INSECTICID,100
INSILCO,
INSOE,
INSPIRE,0
INSPIRISYS,25
INTCAPL,75
INTECCAP,0
INTEGFD,50
INTEGHIT,
INTEGRAEN,12
INTEGSW,67
INTELLECT,62
INTELSOFT,
INTENTECH,62
INTERDIGI,75
INTERFAC,
INTERHG,
INTETHR,
INTLCOMBQ,25
INTLCONV,12
INTLNKP,
INTRGLB,75
INTSTOIL,25
INVENTURE,50
INVIGO,12
INVPRECQ,12
IOB,38
IOC,50
IOLCP,38
IONEXCHANG,12
IPCALAB,25
IPL,25
IPOWER,75
IPRINGLTD,75
IPSL,12.5
IRB,38
IRBINVIT,
IRBIT,
IRCON,75
IRCTC,38
IREDA,83
IRFC,62
IRIS,38
IRISDOREME,0
IRMENERGY,17
IRONWOOD,0
ISCITRUST,-1
ISEC,88
ISFL,25
ISFT,12
ISGEC,75
ISHAN,37.5
ISHANCH,88
ISHITADR,50
ISHWATR,
ISLCONSUL,88
ISMTLTD,75
ISTLTD,38
ISTRNETWK,50
ISWL,38
ITALIANE,0
ITC,25
ITCONS,
ITDC,100
ITDCEM,100
ITHL,25
ITI,88
ITL,62
IVC,62
IVP,25
IVRCLINFRA,
IWEL,38
IWP,25
IXIGO,-1
IYKOTHITE,75
IZMO,62
J&KBANK,12
JACKSON,25
JAFINANCE,0
JAGAJITIND,62
JAGANLAM,38
JAGJANANI,50
JAGRAN,25
JAGSNPHARM,25
JAGSONFI,75
JAIBALAJI,12
JAICORPLTD,75
JAIHINDS,38
JAIMATAG,12
JAINAM,50
JAINCO,62
JAINEX,12
JAINMARMO,25
JAINSTUDIO,
JAIPAN,38
JAIPURKURT,25
JAKHARIA,
JALAN,12.5
JALPAC,
JAMEHOT,
JAMESWARREN,12
JAMNAAUTO,50
JAMSHRI,75
JANUSCORP,
JASCH,0
JASH,75
JATALIA,
JATTAINDUS,75
JAUSPOL,50
JAYAGROGN,75
JAYANT,
JAYATMA,0
JAYBARMARU,25
JAYBHCR,50
JAYCH,25
JAYENGY,
JAYIND,0
JAYKAILASH,
JAYKAY,100
JAYMAHESH,
JAYNECOIND,75
JAYSREETEA,62
JAYSYN,
JAYTEX,62
JAYUSH,12
JBCHEPHARM,50
JBFIND,
JBMA,62
JCHAC,75
JCTLTD,
JDL,
JDML,
JDORGOCHEM,75
JEL,
JENBURPH,100
JETAIRWAYS,0
JETFREIGHT,25
JETINFRA,
JETKINGQ,38
JETKNIT,62.5
JETMALL,
JFL,
JFLLIFE,25
JGCHEM,75
JGTL,67
JHACC,50
JHS,50
JIGAR,
JIGYASA,
JIKIND,
JINDALPHOT,88
JINDALPOLY,100
JINDALSAW,75
JINDALSTEL,75
JINDCAP,12
JINDCOT,
JINDHOT,75
JINDRILL,0
JINDWORLD,62
JIOFIN,67
JISLJALEQS,75
JITFINFRA,62
JIWANRAM,0
JIYAECO,
JJEXPO,
JJFINCOR,62
JK AGRI,38
JKCEMENT,75
JKIL,75
JKLAKSHMI,62
JKPAPER,100
JKPHARMA,
JKTYRE,25
JLHL,33
JLL,50
JLMORI,
JMA,50
JMCPROJECT,
JMDVL,50
JMFINANCIL,38
JMGCORP,75
JMJFIN,0
JNKINDIA,67
JOCIL,75
JOHNPHARMA,12
JOINDRE,50
JOINTECAED,
JOLYPLS,
JONJUA,
JOSTS,50
JPASSOCIAT,0
JPINFRATEC,
JPOLYINVST,100
JPPOWER,88
JPTRLES,33
JPTSEC,50
JRFOODS,
JSFB,50
JSHL,
JSL,75
JSLINDL,100
JSLL,
JSTL,12
JSWENERGY,100
JSWHL,75
JSWINFRA,75
JSWISPL,
JSWSTEEL,75
JTAPARIA,0
JTEKTINDIA,100
JTLIND,12
JUBLFOOD,100
JUBLINDS,100
JUBLINGREA,75
JUBLPHARMA,75
JULIEN,75
JUMBFNL,
JUMBO,12
JUNIPER,50
JUPITERIN,12
JUSTDIAL,62
JVLAGRO,
JWL,75
JYOTHI,
JYOTHYLAB,12
JYOTI,88
JYOTICNC,50
JYOTIN,
JYOTIOVR,
JYOTIRES,50
JYOTISTRUC,62
K2INFRA,75
KAARYAFSL,
KABRADG,75
KABRAEXTRU,50
KABSON,62
KACHCHH,38
KACL,12
KAHAN,
KAILASH,
KAIRA,38
KAIZENAGRO,88
KAJALSY,
KAJARIACER,100
KAJARIR,50
KAKA,
KAKATCEM,50
KAKTEX,12
KALAMANDIR,17
KALLAM,0
KALPACOMME,
KALYANCAP,
KALYANI,-1
KALYANI,-1
KALYANIFRG,62
KALYANKJIL,75
KAMADGIRI,0
KAMAHOLD,88
KAMANWALA,75
KAMATHOTEL,0
KAMDHENU,62
KAMOPAINTS,62
KANANIIND,0
KANCHI,62
KANCOTEA,38
KANDAGIRI,50
KANDARP,100
KANELIND,75
KANORICHEM,62
KANPRPLA,62
KANSAINER,38
KANSHST,0
KANUNGO,12
KAPILCO,38
KAPILRAJ,50
KAPSTON,75
KARANWO,0
KARMAENG,0
KARNAVATI,38
KARNIKA,0
KARTKIN,75
KARURVYSYA,75
KASHYAP,
KATRSPG,12
KAUSAMBI,
KAUSHALYA,12
KAVVERITEL,75
KAYA,100
KAYCEEI,100
KAYNES,75
KAYPOWR,62
KBCGLOBAL,50
KBSINDIA,0
KCDGROUP,0
KCEIL,0
KCK,
KCL,-1
KCLINFRA,0
KCP,62
KCPSUGIND,62
KCSL,
KDDL,88
KDJHRL,
KDL,75
KDL,50
KDLL,
KDML,
KEC,75
KECL,62
KEDIACN,-1
KEEPLEARN,0
KEERTHI,25
KEI,62
KEIL,50
KEL,0
KEL,50
KELENRG,62
KELLTONTEC,62
KEMISTAR,12
KEMP,25
KENFIN,
KENGI,
KENNAMET,
KENVI,25
KERALAYUR,75
KERNEX,12
KESAR,
KESARENT,50
KESARPE,100
KESORAMIND,75
KEYCORP,50
KEYFINSERV,38
KFBL,0
KFINTECH,38
KGDENIM,25
KGES,16.67
KGL,
KGPETRO,75
KHADIM,62
KHAICHEM,50
KHAITANLTD,88
KHANDSE,25
KHAZANCHI,
KHFM,37.5
KHODAY,
KHOOBSURAT,50
KHTRFIB,
KHYATI,75
KICL,100
KIDUJA,88
KIFS,62
KILBURN,
KILITCH,0
KIMIABL,75
KIMS,62
KINETICENG,75
KINETRU,75
KINGFA,38
KINGSINFR,0
KIOCL,62
KIRANPR,75
KIRANSY-B,0
KIRANVYPAR,75
KIRIINDUS,50
KIRLFER,
KIRLOSBROS,75
KIRLOSENG,100
KIRLOSIND,75
KIRLPNU,75
KISAN,38
KITEX,38
KJMCCORP,75
KJMCFIN,50
KKALPANAIND,62
KKCL,75
KKFIN,62
KKIL,
KKPLASTICK,75
KKSHL,
KKVAPOW,62.5
KLBRENG-B,100
KLGCAP,100
KLIFESTYL,75
KLL,0
KLRFM,12
KMCSHIL,25
KMEW,
KMFBLDR,25
KMGMILK,38
KMSL,
KMSMEDI,
KMSUGAR,62
KNAGRI,100
KNRCON,62
KOATOOLIN,
KOBO,12
KOCL,
KODYTECH,0
KOFFBREAK,
KOHINOOR,50
KOHINOORBRO,
KOKUYOCMLN,62
KOLTEPATIL,12
KONARKSY,25
KONNDOR,50
KONSTELEC,0
KONTOR,0
KOPRAN,62
KORE,100
KORE,62
KOTAKBANK,62
KOTARISUG,62
KOTHARIPET,62
KOTHARIPRO,50
KOTIC,
KOTYARK,0
KOURA,
KOVAI,
KPEL,25
KPGEL,
KPIGREEN,38
KPIL,38
KPITTECH,75
KPL,50
KPRMILL,75
KPT,38
KRANTI,0
KRATOSENER,67
KRBL,25
KREBSBIO,38
KREONFIN,38
KRETTOSYS,100
KRIDHANINF,62
KRIFILIND,38
KRISHANA,75
KRISHCA,25
KRISHIVAL,12.5
KRISHNA,75
KRISHNACAP,62
KRISHNADEF,75
KRITI,75
KRITIKA,38
KRITINUT,62
KRONOX,-1
KRRAIL,12
KRSNAA,50
KRYPTONQ,38
KRYSTAL,67
KSB,75
KSCL,75
KSE,75
KSERASERA,
KSHITIJ,-1
KSHITIJPOL,75
KSK,
KSL,88
KSLIND,
KSOLVES,62
KTIL,50
KTKBANK,38
KTL,0
KUANTUM,62
KUBERJI,100
KUMPFIN,62
KUNSTOFF,0
KUSHAL,
KUSHIND,50
KUSUMEL,-1
KUWERIN,62
KVFORGE,62
KWALITYCL,
KZLFIN,25
LABELKRAFT,
LACTOSE,75
LADDERUP,62
LADIAMO,50
LAFFANSQ,12
LAGNAM,75
LAHL,12
LAHOTIOV,25
LAKHANI,
LAKHOTIA,38
LAKPRE,75
LAKSELEC,12
LAKSHMIEFL,
LAKSHMIMIL,75
LAL,38
LALPATHLAB,62
LAMBODHARA,38
LANCER,
LANCORHOL,17
LANDMARC,38
LANDMARK,38
LAOPALA,25
LASA,12
LASTMILE,38
LATENTVIEW,75
LATIMMETAL,12
LATTEYS,0
LAURUSLABS,50
LAWSIKHO,0
LAXMICOT,62
LAXMIMACH,62
LAXMIPATI,
LAYLA,
LCCINFOTEC,100
LEADFIN,25
LEEL,
LEENEE,12
LEGACY,
LEHAR,62
LELAVOIR,100
LEMERITE,75
LEMONTREE,75
LERTHAI,25
LESHAIND,25
LEX,
LEXUS,38
LFIC,62
LGBBROSLTD,88
LGBFORGE,75
LGHL,33
LIBAS,12
LIBERTSHOE,100
LIBORD,75
LIBORDFIN,100
LICHSGFIN,75
LICI,62
LIKHAMI,33
LIKHITHA,100
LIMECHM,62
LINAKS,75
LINC,25
LINCOLN,62
LINDEINDIA,38
LINKPH,25
LINKSONI,
LIPPISYS,50
LKPFIN,25
LKPSEC,25
LLFICL,38
LLOYDS,37.5
LLOYDSENGG,75
LLOYDSENT,38
LLOYDSME,67
LNIND,
LODHA,75
LOGICA,
LOHIASEC,
LOKESHMACH,75
LONTE,12
LOOKS,50
LORDSCH,
LORDSCHLO,25
LORDSHOTL,75
LOTUSCHO,75
LOTUSEYE,25
LOVABLE,38
LOYAL,50
LOYALTEX,38
LPDC,62
LRRPL,12.5
LSIND,
LT,50
LTF,75
LTFOODS,75
LTIM,38
LTTS,50
LUCENT,75
LUDLOWJUT,38
LUHARUKA,38
LUMAXIND,75
LUMAXTECH,100
LUPIN,50
LUXIND,62
LWSKNIT,62
LXCHEM,50
LXMIATO,88
LYKALABS,12
LYKISLTD,50
LYNMC,75
LYONSCO,
LYPSAGEMS,38
M&M,75
M&MFIN,62
MAAGHADV,
MAAJTL,
MAANALU,62
MACH,
MACIND,67
MACPLASQ,25
MACPOWER,62
MADHAV,0
MADHAVBAUG,12.5
MADHAVIPL,25
MADHUCON,62
MADHUDIN,0
MADHURIND,75
MADHUSE,25
MADHUSUDAN,0
MADHUVEER,62
MADRASFERT,62
MAFATIND,100
MAFIA,
MAFLU,
MAGADSUGAR,62
